cardinality,intelligent runtime,dumb runtime
5000,259,274
5000,253,285
5000,270,259
5000,292,284
5000,283,282
5000,282,286
5000,273,296
5000,277,278
5000,276,288
5000,281,290
5000,296,283
5000,283,285
5000,286,290
5000,275,289
5000,272,269
5000,272,295
5000,271,287
5000,283,274
5000,277,280
5000,276,280
5000,287,278
5000,278,285
5000,276,287
5000,283,269
5000,278,287
5000,279,278
5000,289,284
5000,285,290
5000,283,286
