cardinality,intelligent runtime,dumb runtime
8000,548,556
8000,550,558
8000,540,573
8000,538,573
8000,610,570
8000,549,563
8000,576,557
8000,553,566
8000,552,565
8000,549,566
8000,544,550
8000,591,559
8000,555,572
8000,535,568
8000,537,566
8000,550,557
8000,538,585
8000,552,557
8000,545,576
8000,547,564
8000,569,571
8000,552,569
8000,542,571
8000,544,573
8000,555,567
8000,555,564
8000,553,568
8000,545,570
8000,568,563
