cardinality,intelligent runtime,dumb runtime
3000,378,376
3000,375,375
3000,377,377
3000,376,374
3000,380,365
3000,380,377
3000,380,373
3000,379,375
3000,374,373
3000,382,373
3000,380,379
3000,377,377
3000,376,375
3000,378,373
3000,382,377
3000,378,375
3000,378,371
3000,381,376
3000,378,373
3000,377,374
3000,379,377
3000,373,376
3000,367,371
3000,371,378
3000,375,375
3000,378,374
3000,367,373
3000,380,377
3000,381,377
