cardinality,intelligent runtime,dumb runtime
10000,597,805
10000,537,812
10000,539,825
10000,537,808
10000,541,815
10000,548,820
10000,544,849
10000,576,822
10000,542,826
10000,544,819
10000,546,818
10000,573,824
10000,544,825
10000,542,822
10000,546,823
10000,543,824
10000,623,826
10000,563,825
10000,541,815
10000,548,838
10000,546,821
10000,542,831
10000,544,824
10000,548,840
10000,571,803
10000,553,825
10000,540,823
10000,545,807
10000,569,825
